Accession	# AAs	Abundance: 40: Sample	Abundance: 41: Sample	Abundance: 42: Sample	Abundance: 43: Sample	Abundance: 61: Sample	Abundance: 62: Sample	Abundance: 63: Sample	COG Functional Category	seed ortholog evalue	Predicted taxonomic group
1.contigs_4007529_5	140	23770079	22238531.375	2945805.40625	12439256.875	8512515.34375	1290376.625	1070884.46875	S	2.2e-67	Bacillariophyta
2.contigs_8729489_1	357	NA	NA	NA	NA	945553.6875	NA	NA	U	7.6e-56	Verrucomicrobia
1.contigs_8687487_1	130	17449898	3972427.484375	240901.4765625	NA	95573.3671875	265282.6640625	304783.5078125	J	2.7e-59	Pleurocapsales
3.contigs_22431540_1	177	252760.0625	620612.3125	137257.890625	NA	NA	NA	NA	S	3.4e-97	Vibrionales
2.contigs_3243266_6	494	249321.8515625	NA	2410312.34375	3218648.09375	610735.5625	3370499.015625	1666878.0625	J	1.8e-172	Chlorophyta
2.contigs_6296077_8	781	8423997.96875	1038256	1016726.421875	329971.53125	NA	1053797.6953125	1119690.5703125	G	0	Betaproteobacteria
3.contigs_12871608_1	388	1886783.75	1752765.8125	NA	48717.0390625	4318575.25	716782.9375	NA	G	3.2e-185	unclassified Rhodobacteraceae
3.contigs_12730543_2	442	8448060.8125	9548226.046875	NA	392302.373046875	4041356.53125	2011164.984375	2007691.703125	GT	1.1e-218	Bacillariophyta
1.contigs_89534_3	1126	332908.6875	757067.46875	318076.25	199155.8828125	3639734.28125	2033068.9375	719268.65625	F	0	Oscillatoriales
3.contigs_4512211_1	771	848419.125	1899313.984375	NA	108181.1875	4614196.5	1269033.09375	624836.890625	L	1.2e-212	Cyanothece
2.contigs_4307684_5	525	NA	126226.734375	4493281.34375	4520566.375	196821.71875	252294.8125	218757.953125	S	5.9e-190	Cytophagia
2.contigs_3282366_1	111	1648200.359375	1206795.78125	1721195.06640625	2306049.375	145340.00390625	18887.955078125	NA	O	1.7e-43	Oscillatoriales
2.contigs_6238630_1	288	955973.1953125	5200368.6875	3282653.671875	26993629.59375	2738174.42578125	NA	373383.859375	NA	NA	NA
3.contigs_15815302_1	91	426261.84375	1878457.75	734001.28125	2709722	NA	1019435.25	241614.796875	B	1.3e-28	Eukaryota
1.contigs_2951949_4	159	426261.84375	1878457.75	734001.28125	2709722	NA	1019435.25	241614.796875	B	2.8e-18	Hymenoptera
3.contigs_6079671_7	81	426261.84375	1878457.75	734001.28125	2709722	NA	1019435.25	241614.796875	B	6.9e-29	Eukaryota
2.contigs_8308508_1	67	426261.84375	1878457.75	734001.28125	2709722	NA	1019435.25	241614.796875	B	1.2e-18	Eukaryota
2.contigs_11244715_1	92	NA	464457.15625	325387.59375	2504077.875	NA	2399494.5	1421080.28125	NA	NA	NA
2.contigs_10444888_1	242	NA	NA	163101.796875	NA	425718.46875	NA	NA	O	2.8e-102	Alphaproteobacteria
1.contigs_1356996_3	151	642331.09375	845611.015625	NA	NA	NA	NA	NA	S	1.5e-50	Pleurocapsales
1.contigs_4681812_7	344	622519.375	230612.28125	NA	NA	440268.5625	513231.75	357351.46875	Q	1.1e-136	Alphaproteobacteria
4.contigs_1454779_7	87	2392936.1171875	3299034.34375	4892564.34375	9988187.5	1215129.140625	698495.109375	331610.125	NA	NA	NA
1.contigs_84765_2	162	468811.65625	NA	NA	NA	NA	NA	NA	C	4.5e-72	Synechococcus
3.contigs_16603216_2	225	2994175.75	NA	773085.3125	210224.578125	NA	581130.625	83258.1484375	TZ	5.4e-92	Bacillariophyta
1.contigs_3720937_1	178	2737554.75	2035532.125	525090.1875	NA	3602170.125	586661.5	357429.28125	Q	2.1e-70	Alphaproteobacteria
2.contigs_392881_18	336	369105.15625	428666.71875	534356.7265625	168802.875	951577.21875	930903.3125	434126.3125	G	2e-159	Alphaproteobacteria
4.contigs_3702565_1	91	1971180.21875	1046532.4375	27112189.78125	11371857.75	NA	27140735.03125	22354014.125	C	6.4e-44	Chromatiales
3.contigs_9000175_1	160	NA	NA	NA	NA	NA	NA	NA	NA	5.7e-19	Gammaproteobacteria
1.contigs_5065535_1	102	8716522.71875	15025121.0625	379018.625	179990.140625	NA	NA	NA	P	4.7e-11	Bacillariophyta
1.contigs_1172612_14	114	20845786.25	4233432.6640625	NA	881998.53125	423878.4375	481617.71875	NA	C	1.6e-44	Synechococcus
1.contigs_614575_1	657	6351195	3824362.4375	NA	NA	NA	NA	NA	G	4.6e-75	Betaproteobacteria
3.contigs_1255914_11	517	1827048.125	NA	842139.0625	1435342.25	2788619.3125	5046209.46875	2157635.3125	S	4.6e-54	Verrucomicrobia
3.contigs_20988814_2	287	203329.46875	NA	NA	219371.421875	2023784.28125	69106.1328125	NA	S	5e-66	Proteobacteria
2.contigs_57291_41	587	NA	NA	855280.53125	2886565.21875	115512.0234375	1261332.3125	1299623.53125	F	0	Desulfobacterales
2.contigs_4282644_1	153	37494533.5625	1611132.25	NA	NA	NA	NA	53001.12890625	E	2.1e-39	Oscillatoriales
1.contigs_254529_2	433	45195.45703125	181110.40625	NA	NA	287390.375	172087.1875	NA	G	2.6e-199	Phaeobacter
2.contigs_14242893_1	317	518853.21875	1141703.6953125	3059880.375	9617757.0625	942316.8203125	365755.8359375	243643.33203125	G	6.4e-99	Streptophyta
4.contigs_4635435_3	602	840483	335652.90625	2588842.625	3740166.125	347620.25	2587098.125	1678125.16137695	O	2e-165	Chlorophyta
2.contigs_5499128_1	302	NA	NA	NA	NA	812413.125	NA	NA	P	3.2e-140	Roseovarius
1.contigs_8493541_3	300	NA	NA	NA	NA	812413.125	NA	NA	P	9.6e-145	Roseovarius
1.contigs_4409472_2	153	17334136.25	3485597.1875	192902.65625	NA	371553.96875	NA	NA	NA	3.4e-61	Pleurocapsales
2.contigs_6737704_1	266	1328898.1640625	1274781.984375	299911.2109375	384842.90625	3481179.5	637460.0625	NA	Q	2.6e-85	unclassified Alphaproteobacteria
3.contigs_11645994_1	352	1328898.1640625	1274781.984375	299911.2109375	384842.90625	3481179.5	637460.0625	NA	Q	3.2e-107	unclassified Alphaproteobacteria
3.contigs_2913731_1	355	1328898.1640625	1274781.984375	299911.2109375	384842.90625	3481179.5	637460.0625	NA	Q	7.7e-109	unclassified Alphaproteobacteria
3.contigs_22591781_1	212	788255.75	602727.625	NA	NA	441670	NA	NA	O	4.2e-94	Alphaproteobacteria
4.contigs_12855309_1	374	1398114.25	1280495.625	966977.328125	326713.546875	648854.3125	3237802.484375	1327999.03515625	NA	NA	NA
2.contigs_3676656_1	174	226490.49609375	512535.484375	675696.125	4999248.96875	122576.984375	240104.375	64334.9453125	H	2.4e-71	Eukaryota
3.contigs_14807955_1	349	74051.5546875	132327.34375	166006.546875	186278.9375	NA	NA	NA	I	3.3e-165	Bacillariophyta
3.contigs_7520858_7	360	21861431.953125	8106604.375	1347367.59375	1791650.84375	105796028.6875	45874961.78125	16646787.546875	M	4.6e-69	unclassified Alphaproteobacteria
2.contigs_5328092_2	338	NA	NA	NA	NA	NA	NA	NA	ET	1.4e-181	Roseobacter
1.contigs_3582681_7	357	6509597.34375	4093420.625	NA	NA	3975072.09375	551041.5625	296602.40625	G	6.2e-159	Bacillariophyta
2.contigs_9737709_1	100	10294861.625	76967753.1875	385026.46875	3673912.75	7299354	288947.75	78669.4921875	C	4.5e-30	Eukaryota
2.contigs_820212_2	110	2348153.21875	126550.4765625	3014670	3874399.625	58609.8125	6845192.125	4450437.5625	G	1.2e-28	Chlorophyta
2.contigs_6374511_1	135	1231939.25	235459.1875	63546.94921875	521789.6875	1581676.0625	1015095.03125	515302.59375	ET	3.6e-59	Roseivivax
2.contigs_11172969_11	226	340874.21875	720543.4375	421673.4375	3319597.125	NA	289913.46875	591892.546875	E	7.5e-17	Actinopterygii
4.contigs_2248063_1	140	4601946.625	1104305.375	NA	NA	NA	NA	NA	O	3.4e-68	Pleurocapsales
1.contigs_925476_15	355	NA	NA	NA	294287.125	477544.90625	NA	NA	G	1.4e-166	Alphaproteobacteria
2.contigs_14164107_5	338	NA	1859182.75	NA	NA	NA	NA	NA	M	4.5e-167	Opitutae
2.contigs_14402512_2	299	14824356.90625	9771434.234375	3038372.13671875	4283876.75	23055567.328125	8958889.59375	4898090.38476563	G	2.6e-118	Alphaproteobacteria
3.contigs_17842213_2	519	NA	102318.6640625	271726.734375	NA	824690.21875	170072.453125	137452.4765625	M	4.8e-43	Bacteroidetes
2.contigs_14001704_1	328	459480	6081947.859375	NA	NA	202039.3125	131967.4375	131367.28125	M	3.4e-135	Opitutae
4.contigs_2403273_2	217	NA	NA	NA	NA	NA	NA	NA	P	3.3e-78	Bacillariophyta
2.contigs_5269647_177	289	5219922.96875	3031149.65625	585154.953125	874881.703125	36929728.1875	4788090.8359375	646244.5234375	P	3.4e-139	Alphaproteobacteria
1.contigs_2285285_15	503	310129.25	NA	370038.9375	NA	1688840.671875	278129.5546875	206614.3203125	NA	NA	NA
1.contigs_2438375_15	995	6745722.46875	5869250.75	203529.953125	426949.0625	1900174.421875	1524952.125	808592.546875	H	0	Arenibacter
1.contigs_6993139_2	423	25414.919921875	3373958.34375	163922.49609375	NA	71558.6015625	167074.296875	170106.5390625	P	3.1e-64	Hyphomonadaceae
2.contigs_397192_6	426	659400.80078125	25679.638671875	5639625.125	8448871.4921875	1000389.38671875	6362906.578125	3936379.40625	O	3e-184	Chlorophyta
2.contigs_5625663_1	210	565591.1875	467657.171875	343483.9453125	NA	1953215.890625	1685631.46875	667105.359375	Q	7.5e-104	Alphaproteobacteria
4.contigs_685102_2	275	301828.34375	NA	3458957.25	2051920.90625	638349.9375	1100159.875	848912.578125	C	8e-114	Chlorophyta
2.contigs_2138946_1	273	301828.34375	NA	3458957.25	2051920.90625	638349.9375	1100159.875	848912.578125	C	2.5e-107	Chlorophyta
2.contigs_3319383_1	151	NA	NA	149547.25	NA	267758.0625	NA	NA	NA	5.9e-10	Deltaproteobacteria
1.contigs_266020_4	140	1594906.3125	7538338.59375	110257.8125	NA	431656.40625	90570.603515625	36762.27734375	S	4.3e-55	Eukaryota
1.contigs_2582924_1	497	5103326	6051052.84375	1740751.0703125	618394.3984375	3089351.984375	2211223.2578125	864718.8125	P	5.4e-201	Sphingobacteriia
2.contigs_2824835_3	227	24692.095703125	140647.53125	NA	NA	NA	57523.99609375	NA	J	8.7e-98	unclassified Rhodobacteraceae
4.contigs_7663904_3	474	141591.875	615984.375	32674.041015625	NA	42170.75	NA	25991.201171875	C	2.1e-215	Acidimicrobiia
1.contigs_1200952_1	151	2776245.25	382542.21875	NA	NA	NA	1455448.375	1159523.5	S	1.9e-64	Bacillariophyta
1.contigs_5680790_1	471	9544487.84375	7564193	1245740.34765625	1697686.375	17395720.984375	3824680.5	2579651.4609375	H	1.5e-261	Ruegeria
2.contigs_6217156_1	852	59459981.65625	25131921.625	1841208.140625	749794.765625	181652.15625	NA	NA	F	0	Pleurocapsales
1.contigs_3035208_1	196	1127438.5	NA	NA	162786.75	1836295.375	NA	NA	U	2.1e-47	Eukaryota
1.contigs_8258814_2	123	802973.9609375	4007944.375	39910.77734375	135078.4375	29507.607421875	NA	34319.44140625	U	4.4e-11	Eukaryota
1.contigs_349950_2	789	82282.75	NA	27410.033203125	25006.623046875	351511.5546875	61511.1640625	NA	C	0	Alphaproteobacteria
4.contigs_1724281_1	280	79631.28125	NA	NA	NA	2465683.0625	455232.65625	268448.28125	M	4.4e-43	Alphaproteobacteria
1.contigs_2104494_1	455	352507.78125	146585.171875	NA	569600.1015625	2977457.21875	1351192.0390625	662764.859375	NA	9.7e-48	Hyphomonadaceae
3.contigs_24657842_1	106	1132369.75	774266.60546875	3420285.125	2588465.953125	168818.71875	NA	NA	G	3e-45	Bacillariophyta
2.contigs_4541633_2	360	2266688.5	NA	378665.75	NA	448730.71875	NA	NA	Q	3.3e-168	Alphaproteobacteria
2.contigs_3380742_1	168	948793.75	NA	10599911.375	15633961.5625	NA	13917418.5625	10923003.015625	C	2e-62	Liliopsida
3.contigs_9497093_2	387	6574958.375	1200540.34375	390732.28125	177578.03125	514625.75	110940.0625	NA	H	2.3e-207	Pleurocapsales
3.contigs_6864235_1	189	737156.4375	369748.375	671646.453125	580376.6875	6830775.0625	2140587.59375	319789.125	NA	NA	NA
1.contigs_2462560_1	87	2850775.375	1694216.375	NA	NA	NA	NA	NA	C	1.7e-33	Oscillatoriales
2.contigs_5497105_1	135	1196722.40625	6698311.75	169821.71875	1729969.4375	1010642.59375	NA	169496.25	G	1.1e-44	Eukaryota
2.contigs_6296640_10	301	NA	234061.796875	2028021.921875	999892.28125	407156.90625	2804869.671875	467514.25	M	9.1e-95	Chlorophyta
4.contigs_12679173_1	323	144394.28125	NA	469790.1875	640187.734375	554369.3125	830481.791015625	444785	S	3.7e-142	Chromatiales
2.contigs_5473161_1	107	NA	437001.34375	360687.65625	4332907.8125	NA	NA	NA	H	1.3e-11	Corynebacteriaceae
2.contigs_10301913_1	323	NA	138298.859375	112785.5390625	NA	235855.359375	510110.4140625	683991.921875	C	7.2e-146	Hydrogenophilales
4.contigs_11005751_1	638	1069910.5	682215.5	1034149.09375	3425508.25	296562.75	277602.0625	998996.625	NA	NA	NA
1.contigs_4535664_2	328	1762258.140625	727028.9375	252753.734375	499137.25	1680672.80078125	425273.671875	251217.375	G	7.6e-127	Oceanicola
4.contigs_9993171_1	369	NA	NA	96374.0234375	NA	78433.0390625	NA	NA	O	3.9e-156	Myxococcales
1.contigs_4348538_2	198	4621998.875	35057082.5625	444902.15625	1161078.4375	5203209.140625	4513138.90625	1653102.875	NA	NA	NA
3.contigs_14414683_2	163	1729826.34375	530215.375	1144395.5	1200816.625	161328.28125	967988.375	723106.8125	C	1.6e-72	Bacillariophyta
3.contigs_23981669_1	241	846893.4375	NA	1094825.5859375	1670636.421875	198521.859375	753841.8125	1034405.09375	P	7.4e-23	Viridiplantae
1.contigs_7556976_2	343	230446.984375	166203.515625	NA	NA	NA	NA	NA	G	9.6e-157	Phyllobacteriaceae
3.contigs_4046485_7	343	2580315.96875	671586.890625	384602.359375	2182312.203125	590672.5625	240952.578125	682872.5078125	ET	1.6e-140	Desulfobacterales
3.contigs_4126401_7	549	929054.578125	2318454.234375	333787.3125	505656.5625	3710626.65625	63892.98828125	347682.09375	S	1.1e-119	Bacillariophyta
3.contigs_5974027_1	313	8012639.953125	4696264.6875	3278021.03125	2793505.125	6793253.546875	2838772.65625	629330.78125	P	2e-23	Epsilonproteobacteria
1.contigs_1680121_8	316	NA	NA	NA	1267389.59375	4591669.65625	2017490.9375	433996.4375	P	7.3e-127	unclassified Alphaproteobacteria
4.contigs_13902345_1	86	1604893.0625	461638.375	18782014.90625	45801814.84375	NA	44993598.3125	40835813.3125	NA	NA	NA
3.contigs_3453936_2	448	NA	NA	NA	NA	681978	145809.375	NA	E	3.5e-215	Alphaproteobacteria
1.contigs_33000_1	300	5477901.578125	7683077.703125	2019041.90234375	384973.09375	170233.890625	606036.45703125	230643.28125	A	3.4e-65	Bacillariophyta
4.contigs_14834510_1	134	NA	510043.65625	22775426.0625	37007742.5625	NA	14579211.78125	11922728.390625	NA	NA	NA
2.contigs_11973659_1	625	332688.3515625	1534167.62109375	443058.578125	3667435.5625	773066.828125	364326.8203125	81089.6796875	P	1.7e-140	Planctomycetes
3.contigs_3677141_1	363	5817687.375	1190471.265625	591333.0625	1038258.5546875	700333.859375	302607.53125	NA	ET	1.6e-173	Oscillatoriales
4.contigs_5660551_1	493	931684.9375	NA	1586420.625	371517.8125	NA	7713605.875	3733126.125	NA	NA	NA
3.contigs_15853880_2	139	1504844.375	4760782.875	57960.53515625	NA	171761.296875	248918.09375	160244.65625	E	2.1e-33	Streptophyta
2.contigs_6395202_72	499	162416.640625	NA	359535.53125	455188.15625	NA	NA	NA	F	1.6e-200	Myxococcales
1.contigs_6017816_1	149	1006578.1875	249374.265625	NA	99834.3671875	NA	NA	NA	M	9.8e-58	Pleurocapsales
4.contigs_4464656_1	1354	199141.03125	1195394.59375	62293.16015625	75937.859375	5891165.1953125	3497117.328125	963066.1015625	Q	3e-198	Alphaproteobacteria
1.contigs_7392198_1	363	398580.53125	928060.71875	NA	NA	NA	NA	NA	C	1.8e-137	Bacillariophyta
4.contigs_4743235_6	716	3157719.8125	1503573.46875	210103.0234375	86740.1796875	NA	124999.26171875	117437.6953125	J	0	Synechococcus
3.contigs_1322467_1	118	139851.75	NA	NA	537603.75	535052.5625	NA	135251.6875	G	2.2e-52	Chromatiales
2.contigs_12486684_3	156	392525.71875	NA	5313740.96875	4751364.3125	692021.46875	349302.78125	88000.375	M	4.8e-15	Gammaproteobacteria
1.contigs_6854599_3	803	545052.375	143401.109375	603201.3125	335973.59375	1161662.1875	NA	111224.8671875	O	1.7e-249	Bacillariophyta
2.contigs_8552475_1	268	NA	132544.42578125	NA	1315454.375	NA	NA	NA	J	5.2e-118	Bacillariophyta
1.contigs_1115629_1	731	4861156.5	1349711.625	NA	155043.546875	114948.7578125	NA	50928.3828125	P	4.1e-298	Sphingomonadales
1.contigs_7924775_8	339	NA	NA	NA	NA	1953395.03125	NA	NA	ET	5.2e-163	Alphaproteobacteria
3.contigs_15144209_5	425	125809.5625	NA	5018981.1640625	7161961.65625	76590.2265625	16760880.109375	8661590.96875	P	2.8e-222	Desulfobacterales
4.contigs_3715959_5	459	269923405	35525913.859375	4625025.875	5559929.9375	2005867.5625	1511135.859375	718961.953125	H	1e-217	Oceanospirillales
2.contigs_7478366_1	300	1139590.984375	1408695.359375	5608588	11466902.484375	3942211.8125	7511930	3581153.5	M	1.6e-43	Alphaproteobacteria
1.contigs_5850010_1	396	NA	NA	NA	1013534.4375	88802.921875	977763.9375	510281.25	J	2.1e-176	Myxococcales
3.contigs_6728284_1	280	2964822.25	1624523.375	102887.5078125	NA	204887.578125	NA	NA	G	7.1e-134	Bacillariophyta
3.contigs_24440198_3	278	84133531.25	27981048.25	7284667.296875	28840176.1875	6049865.58203125	7662406.421875	3059627.08203125	G	1.1e-126	Bacillariophyta
3.contigs_3030375_1	140	NA	1150153.15625	NA	NA	5235579.40625	NA	NA	NA	NA	NA
2.contigs_1651687_4	165	1339859.875	1870203.03125	11858929.25	10866412.1875	187636.90625	3093311.78125	2877364.9375	E	4.9e-58	Chlorophyta
2.contigs_8340731_1	89	9867515.1796875	20526017.78125	11074980.8359375	74957433.984375	6715014.5	43050573.3125	34551223.8125	C	3.2e-27	Cyanobacteria
4.contigs_2012204_2	230	NA	NA	3364138.125	2093585.09375	NA	2668402	3222217.90625	C	1e-106	Proteobacteria
2.contigs_3055065_7	629	NA	NA	NA	NA	NA	NA	NA	C	0	Chromatiales
1.contigs_935905_6	316	282034.25	394404.515625	111839.9609375	37046.0546875	1044732.40625	406676.875	193017.78125	P	8e-126	unclassified Alphaproteobacteria
1.contigs_573115_1	365	6464392.875	505803.7734375	3361709.71875	1652111.375	603202.0703125	2662797.6875	1365860.5078125	ET	1.3e-148	Cyanobacteria
3.contigs_13190510_4	253	3024276.75	1732069.46875	155068.671875	NA	809161.3125	NA	NA	G	1.6e-84	Poales
1.contigs_2531218_1	190	2018999.4375	2852417.9375	893767.75	306955.359375	432441.625	77264.609375	327764.546875	S	2.2e-9	Opisthokonta
2.contigs_588822_3	216	NA	784618.375	444373	3777733.84375	382941.0390625	NA	181953.359375	E	5.1e-71	Opisthokonta
1.contigs_7234388_2	463	822948.78125	2947845.9375	661745.796875	2255177.21875	NA	NA	NA	J	6.3e-204	Opisthokonta
3.contigs_17715641_3	354	484392.390625	283121.546875	159449.5	180679.21875	3445415.375	1019292.453125	366389.90625	C	4.6e-170	unclassified Rhodobacteraceae
3.contigs_18455740_1	126	4226937.5625	2075054.796875	627686	122553.6484375	1382801.625	NA	NA	C	5.2e-52	Bacillariophyta
3.contigs_4478885_5	1111	NA	NA	355047.25	686138.859375	NA	NA	515005.1875	H	0	Flavobacteriia
1.contigs_1206123_5	412	2994878.125	3671104.375	NA	244750.046875	NA	887169.65625	591618.0390625	G	6e-198	Alphaproteobacteria
1.contigs_2379943_2	218	NA	NA	5602483.03125	NA	92562.125	4906847.84375	1951375.234375	NA	2e-11	fabids
4.contigs_14221191_1	137	402659.265625	230406.04296875	284093.4453125	NA	1121545.75	NA	668887.25	N	4.1e-42	Spirochaetes
2.contigs_285249_13	275	347159.21875	563046.283203125	7305333.96875	3303845.296875	271547.109375	8397937.0625	5019401.53125	T	1.3e-10	Gammaproteobacteria
2.contigs_236986_1	144	3071218.5	869917.3125	352085.4375	1001579.9375	2424315.4375	406406.40625	421857.875	ET	1.3e-51	unclassified Rhodobacteraceae
2.contigs_10598715_1	110	12342135	736616.40625	NA	NA	892537.1328125	276966.8125	NA	G	1.3e-46	Nostocales
1.contigs_484940_2	771	3729352.9296875	6040526.21875	336479.2109375	393552.859375	1269862.28125	NA	834880.4375	NA	NA	NA
1.contigs_1157051_2	322	2317873.59375	2565376.0625	1104173.21875	1139717.90625	1917296.6875	1443995.359375	747664.96875	S	1.9e-143	Alphaproteobacteria
3.contigs_11067902_2	356	NA	104490.390625	NA	NA	425232.46875	NA	NA	Q	1e-129	Chromatiales
4.contigs_2920371_2	339	965250.3125	596749.375	130081.8671875	NA	1283774.625	368609.875	74092.2109375	Q	3.9e-142	Alphaproteobacteria
1.contigs_2149156_4	146	NA	NA	NA	NA	NA	NA	NA	C	6.9e-64	Oscillatoriales
2.contigs_399739_8	119	NA	NA	3857686.65625	6247286.25	87460.125	2533869.6875	1550216.5078125	H	8.6e-20	Streptophyta
3.contigs_13764811_1	270	NA	116149.796875	NA	NA	652299.125	NA	NA	P	2.3e-137	Roseobacter
1.contigs_3319324_3	323	1703181.25	4090184.84375	546983.1875	NA	5268909.375	399263.84375	NA	M	3.9e-19	Rhodospirillales
4.contigs_7575760_2	296	NA	NA	NA	NA	NA	1402699.046875	264656.15625	NA	NA	NA
4.contigs_10354951_2	351	NA	382910.15625	NA	NA	30934.59375	3724063.21875	735939.046875	E	4.7e-175	Desulfobacterales
1.contigs_9239169_2	326	NA	NA	NA	NA	NA	NA	NA	P	4.2e-138	Alphaproteobacteria
1.contigs_1681621_2	351	15418387	748985.5	NA	NA	NA	NA	NA	Q	5e-52	Bacteria
4.contigs_103553_1	674	NA	NA	NA	NA	NA	NA	NA	O	2.6e-214	Bacillariophyta
2.contigs_1110878_2	325	2878361.546875	65290.375	3113507.75	11665782.6875	651196.140625	1507298.046875	1126701.859375	S	4.8e-134	Desulfobacterales
2.contigs_2090047_2	163	571947.71875	715764.8359375	5960915.625	5592753.375	74491.09375	3565052.875	2269995.875	G	7.7e-64	Chlorophyta
2.contigs_1635246_2	804	503109.15625	86314.015625	2462385.421875	NA	154527.65625	6654276.859375	5863296	KM	5.9e-64	Deltaproteobacteria
4.contigs_11951510_1	123	NA	NA	28766.447265625	NA	746015.375	219295.015625	85707.5234375	P	6e-53	Rhodovulum
3.contigs_9788381_1	109	NA	NA	NA	NA	NA	NA	NA	Z	1.7e-51	Rodentia
4.contigs_8064288_2	367	NA	NA	284205	NA	5541220.875	1463875.78125	744666.328125	P	2.8e-85	Actinobacteria
2.contigs_11001669_1	147	1459319.90625	1916609.78125	199369.28125	132418.32421875	515227.4296875	96511.421875	49916.98828125	Q	5.1e-67	Sulfitobacter
3.contigs_9953654_7	377	319579.9375	742830.34375	489863	325322.21875	1783292.453125	322820.75	170650.578125	GQ	3.7e-162	Bacillariophyta
1.contigs_6066023_3	479	12323754.03125	667548.86328125	259883.859375	1978746.25	NA	307834.03125	304167.3125	NA	2.8e-186	Bacteria
1.contigs_3749850_2	179	50975769.875	11046027.53125	223185.875	596410.921875	NA	828266.5625	336215.5	O	1.1e-76	Pleurocapsales
4.contigs_14880189_1	272	417273.28125	2456992.09375	99038.828125	NA	151114.625	189152.875	NA	G	1.7e-103	unclassified Alphaproteobacteria
4.contigs_15518578_1	159	417273.28125	2456992.09375	99038.828125	NA	151114.625	189152.875	NA	G	1.7e-55	unclassified Alphaproteobacteria
3.contigs_11271598_2	277	50436224	1515211.25	NA	NA	816022.1875	NA	NA	S	2e-136	Bacillariophyta
2.contigs_1510839_3	142	139541.09375	764873.125	1658235.1015625	3644560.09375	NA	66182.6328125	NA	S	1.1e-69	Cyanothece
1.contigs_2123060_1	262	NA	NA	NA	NA	NA	NA	NA	H	3.1e-83	Bacillariophyta
3.contigs_23980486_1	199	NA	NA	NA	NA	NA	NA	NA	H	2.2e-76	Bacillariophyta
3.contigs_126648_1	181	NA	NA	NA	NA	NA	NA	NA	H	1.5e-76	Bacillariophyta
1.contigs_6455865_4	376	1722692.75	9962321.1875	2412507.171875	2687420.15625	40662098.4375	45508299.1875	16448151.96875	M	1.2e-24	unclassified Alphaproteobacteria
1.contigs_1703993_1	223	3644673.828125	6831094.8125	45707.703125	77321.5234375	NA	98508.12890625	31418.064453125	NA	2.5e-89	Bacillariophyta
3.contigs_16616523_1	150	458747.1796875	111554.5234375	890453.96875	1123863.8125	266262.48828125	416074.78125	44313.1484375	Q	4.8e-52	fabids
2.contigs_6091085_1	132	157440.90625	253860.6015625	225632.46875	541153.25	1318454.796875	405142.046875	406444.2109375	P	1.2e-43	Alphaproteobacteria
2.contigs_7751104_7	311	NA	NA	162208.65625	769765.4375	217621.46875	932845	426638.4375	C	6.6e-165	Desulfobacterales
1.contigs_707280_2	343	319320.96875	168228.6953125	NA	NA	2651314.15625	50791.98828125	54378.849609375	P	6.6e-158	Alphaproteobacteria
4.contigs_1680759_4	273	1378878.65625	3813889.75	3023742.5234375	6470688.078125	372937.8671875	16154873.84375	9866329.0625	A	4.4e-11	Poales
2.contigs_3041906_1	379	10887765	1747260.875	NA	NA	489291.9375	NA	NA	O	5.2e-95	Lepidoptera
1.contigs_2886947_2	346	NA	5532121.15625	NA	60392.41015625	267297.21875	270351.53125	49435.4609375	G	8.7e-166	Bacillariophyta
1.contigs_3227258_2	633	4769425	204973.15625	287833.2578125	107663.5859375	562214.546875	190574.109375	276407.5	G	0	Oscillatoriales
2.contigs_1535513_9	301	27865656.6875	19794748.375	6693216.5859375	10317607	6881615.65625	4831268.5	2973622.296875	Q	1.1e-156	Bacillariophyta
3.contigs_6903068_1	231	454675.28125	NA	2245742.25	209739.84375	6484563.5625	NA	95347.5625	NA	4.6e-54	Bacillariophyta
1.contigs_9622039_1	193	454675.28125	NA	2245742.25	209739.84375	6484563.5625	NA	95347.5625	NA	5.6e-53	Bacillariophyta
1.contigs_1683507_1	73	1695996.46875	19035128.25	753317.4921875	595254.078125	1549540.671875	304412.625	203234.703125	G	5.1e-15	Eukaryota
1.contigs_9801827_1	679	149703.09375	477971.53125	108051.15625	427383.5859375	4892209.28125	846056.0078125	304787.28125	C	7.8e-235	Eukaryota
1.contigs_7283903_1	266	NA	NA	NA	NA	3388869.125	772756.984375	153796.265625	P	1.2e-87	Alphaproteobacteria
2.contigs_6107508_1	208	757327.625	598527.75	353003.8125	330901.5	1103210.625	441019.5	NA	O	1e-52	Thiotrichales
3.contigs_265840_1	352	9687043.3125	1250229.640625	304049.328125	445611	1639686.75	202020.28125	NA	E	1.7e-177	Pleurocapsales
2.contigs_865127_11	201	NA	NA	1331135.4375	1975031.9375	37484.21484375	4087345.046875	1168188.640625	U	8.9e-54	Chlorophyta
3.contigs_4273487_8	101	1120719.3125	3153575.578125	10366848.1328125	76452286.21875	2801426.171875	44749199.609375	37461866.125	C	1.4e-26	Viridiplantae
2.contigs_2224803_1	268	20069777.5	3121264.5	125259.1015625	269716.79296875	274366.4140625	58421.96875	147891.0546875	GM	5.9e-138	Pleurocapsales
3.contigs_18521770_1	196	NA	997726.0625	324235.6171875	368686.5625	4029386.78125	NA	NA	G	5.6e-77	Phyllobacteriaceae
3.contigs_861251_1	230	340568.6875	1049741.125	116672.5859375	NA	1507790.53125	NA	NA	O	7.2e-84	Bacillariophyta
